blue
blueviolet
brown
chocolate
cornflowerblue
crimson
darkblue
darkcyan
darkgoldenrod
darkgreen
darkmagenta
darkolivegreen
darkorange
darkorchid
darkred
darksalmon
darkslateblue
darkslategrey
darkviolet
deeppink
dimgray
dodgerblue
firebrick
forestgreen
fuchsia
navy
goldenrod
green
hotpink
indianred
indigo
magenta
maroon
mediumaquamarine
mediumblue
mediumorchid
mediumpurple
mediumseagreen
mediumslateblue
mediumspringgreen
mediumturquoise
mediumvioletred
midnightblue
mintcream
mistyrose
moccasin
navajowhite
oldlace
olive
olivedrab
orange
orangered
orchid
palegoldenrod
palegreen
paleturquoise
palevioletred
papayawhip
peachpuff
peru
pink
plum
powderblue
purple
red
rosybrown
royalblue
saddlebrown
salmon
sandybrown
seagreen
seashell
sienna
silver
skyblue
slateblue
slategray
slategrey
snow
springgreen
steelblue
tan
teal
thistle
tomato
turquoise
violet
wheat
white
whitesmoke
yellowgreen
yellow
