EXCHANGE DATA,TOTAL DEPTH RATIO,DATE
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30628  26753452  18246435  1340293100
1       OKX  30626  34116123  31561919   295548275
2      GATE  30642  14420983  14426292   223101868
3    KUCOIN  30635  22090481  23193053   138190837
4  COINBASE  30657   1276895   2316478    82818145
5  BITFINEX  30643   6802918   5015631    15241726
6  BITSTAMP  30651    341341    313153      787693
7   BITTREX  30667    653753    290815      353225
8    GEMINI  30682     22341     22178       25853",0.4625664042607059,2023-07-11 18:44:12.767667
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:45:09.631138
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:46:06.430789
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:47:03.458183
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:48:00.629447
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:48:57.628356
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30644  25880473  19097067  1339324800
1       OKX  30644  34103018  31549794   295630527
2      GATE  30634  15809970  11813808   222823055
3    KUCOIN  30644  18555465  19075410   138014709
4  COINBASE  30634   1225153   2253804    82805537
5  BITFINEX  30633   6800305   5013704    15239259
6  BITSTAMP  30629    341011    316602      786723
7   BITTREX  30629    653502    290703      356555
8    GEMINI  30683     22336     22173       25850",0.45387277412187765,2023-07-11 18:49:54.867278
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30622  26735025  18908154  1340770686
1       OKX  30620  33930186  31469874   296101763
2      GATE  30628  15808967  11813058   223116425
3    KUCOIN  30624  15909121  20406683   138093202
4  COINBASE  30626   1249632   2179822    82884204
5  BITFINEX  30633   5563349   7391583    15239386
6  BITSTAMP  30650    325729    308905      786824
7   BITTREX  30655    609773    241948      369182
8    GEMINI  30686     22344     22199       25853",0.4708103007704076,2023-07-11 18:50:51.958552
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30622  26735025  18908154  1340770686
1       OKX  30620  33930186  31469874   296101763
2      GATE  30628  15808967  11813058   223116425
3    KUCOIN  30624  15909121  20406683   138093202
4  COINBASE  30626   1249632   2179822    82884204
5  BITFINEX  30633   5563349   7391583    15239386
6  BITSTAMP  30650    325729    308905      786824
7   BITTREX  30655    609773    241948      369182
8    GEMINI  30686     22344     22199       25853",0.4708103007704076,2023-07-11 18:51:49.287794
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30622  26735025  18908154  1340770686
1       OKX  30620  33930186  31469874   296101763
2      GATE  30628  15808967  11813058   223116425
3    KUCOIN  30624  15909121  20406683   138093202
4  COINBASE  30626   1249632   2179822    82884204
5  BITFINEX  30633   5563349   7391583    15239386
6  BITSTAMP  30650    325729    308905      786824
7   BITTREX  30655    609773    241948      369182
8    GEMINI  30686     22344     22199       25853",0.4708103007704076,2023-07-11 18:52:46.247703
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 18:55:52.950258
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 18:56:49.788059
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 18:57:46.910425
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 18:58:44.238026
"   EXCHANGE  PRICE   +2 SELL    -2 BUY      VOLUME
0   BINANCE  30600  26710217  18890609  1341875857
1       OKX  30601  30664563  26833834   296265529
2      GATE  30607  12573345  14809065   223277327
3    KUCOIN  30605  15894359  20387747   138019096
4  COINBASE  30603   1248860   2178477    82924444
5  BITFINEX  30610   5558187   7384725    15207264
6  BITSTAMP  30611    322794    309402      787226
7   BITTREX  30585    569548    232316      369568
8    GEMINI  30684     22334     22258       25684",0.48319092537032327,2023-07-11 18:59:41.130295
