WEST AUSTRALIA       ,NORTHERN TERRITORY           ,QUEENSLAND   ,SOUTH AUSTRALIA       ,VICTORIA,TASMANIA,NEW SOUTH WALES       
450,760,1100,800,1050,1105,1105
535,400,500,600,810,937,680
